"rb","Rank","Points","Risk","ADP","Vid","Notes"
"Todd Gurley LAR (12)","1","304.20","1.70","1.02","","Finally free from the shackles of Jeff Fisher, a competent offensive-mind took Gurley and unleashed the RB to his full potential. He had only one more carry in 2017 compared to 2016, but gained over 220 additional rushing yards. Gurley went from 58 targets to 87 targets. Gurley has jumped right back into the 1.01 conversation, but this time he’s surrounded by the league's number one scoring offense."
"LeVeon Bell PIT (7)","2","300.20","2.70","1.02","","The Steelers threw a tantrum Week 1 after Lev held out for training camp, and only gave him 10 carries to start the season. Things returned to normal, thankfully, and he ended the season as the fantasy RB2. He was the only RB with over 400 touches and entering 2018 once again on a franchise contract, there’s no reason for Pitt to pull his volume. The only concern for Bell is injury related, he’s safe."
"David Johnson ARI (9)","3","285.20","2.70","1.04","","2017 was a massive disappointment for DJ and all those that spent the 1.01 on him in fantasy drafts. The good news, his missed season due to a pretty flukey wrist injury and he’s already ready to go. The bad news, he’s in a completely new offense and the Cardinals have been depleted of veteran offensive skill players. DJ should remain the focal point of the offense being fed carries and targets, but his chance at hitting 20 total touchdowns like in 2016 seems an ephemeral dream."
"Alvin Kamara NO (6)","4","266.10","2.70","1.06","","Holy crap Super Kamario set the world on fire last year. The only thing that stopped his run of seven straight RB1 games was a concussion. Fantasy players are going to have to pay up to draft him this year and he does have some regression concerns, considering he had one of the most efficient seasons in history. Mark Ingram will be facing a four game suspension to start the season, further allowing Kamara to become the alpha in the backfield. Andy has a great article on his full endorsement of Kamara that is worth a read. His skill in the receiving game makes Kamara an easy 1st round pick."
"Ezekiel Elliott DAL (8)","5","260.00","2.70","1.04","","Elliott was the story of the season with the drama of his suspension coming and going. Eventually the 6-game punishment caught up to him. While it was rough for fantasy players to carry an unusable asset, Zeke put up monstrous numbers when he played. Throwing out the albatross game against Denver, Zeke put up a line of 233/975/7...in 9 games. If Zeke was awarded his average points per game for the suspension, he would’ve finished as RB2."
"Melvin Gordon LAC (8)","6","251.80","3.70","1.09","","Melvin Gordon finally shook the demons of the 1k rushing yard club, but remained inefficient as a sub 4.0YPC runner. That didn’t seem to bother to Chargers coaching staff that handed him the ball 284 times and 83 targets. Gordon is polarizing as an NFL player, but his fantasy stock should come without question. He’s a 3-down running back in a world with very few remaining."
"Saquon Barkley NYG (9)","7","249.70","3.30","1.07","","Barkley completely shatters any and all college production models. He profiled heading into the draft as a 3-down running back that can help an offense in every facet of the game. The Giants coveted him enough to spend the 2nd overall pick on him. He joins an offense that is a powder keg waiting to explode at any time with Odell Beckham, Evan Engram, and Sterling Shepard. Massive talent, massive opportunity, plus a strong offense will make Barkley a safe pick in the 1st round of fantasy drafts."
"Leonard Fournette JAC (9)","8","243.40","4.00","1.10","","People expected a massive year from the 4th overall pick in the 2017 draft by the Jags. The workload was there. Fournette was 1 of 6 RBs with over 300 touches. He finished as the RB8. It wasn’t all glitter and gold for the rookie. He struggled with injuries and some inefficiencies, finishing the year with a 3.88YPC average. That’s not going to deter the Jags from feeding him like he’s at Old Country Buffet. Mix in the Jags defense providing a lot of positive game scripts, and Fournette should finish as an RB1."
"Christian McCaffrey CAR (4)","9","233.00","2.70","2.01","","CMac lead the position in terms of target volume, being showered with 113 targets. He had a ridiculous 22.6% of the teams targets. The team did bring in CJ Anderson to replace the recently released Jonathan Stewart. That shouldn’t stop CMac from seeing an uptick in rushing volume, but it certainly caps out his ability to see the 200 carries people were hoping to see him receive. He finished last year as an RB1 and with the volume he will get, especially in the valuable passing game, CMac will be consistently good but not great."
"Kareem Hunt KC (12)","10","228.00","4.70","1.11","","Hunt took over the starting RB role in Kansas City because of an injury to Spencer Ware. He took that opportunity and completely dominated the league for the first seven weeks of the season. A pretty sizable lull occured for the next five weeks before Hunt was able to turn the turbo jets on for the fantasy playoffs. He’s a bit of a wildcard with the return of Ware. Hunt had the highest percentage of RB attempts for any team at 86%. Even workhorse Todd Gurley was under 80%. Hunt is sure to be the primary ball carrier, but his volume will go down compared to last season."
