"wr","Rank","Points","Risk","ADP","Vid","RP","Notes"
"Antonio Brown PIT (7)","1","278.22","1.00","1.05","","","Antonio Brown is one of the best wide receivers of all-time. In 2017, no player in the NFL reached 116 receptions OR 1569 receiving yards. Antonio Brown has AVERAGED those same numbers: 116 receptions, 1569 receiving yards, and 10 TDs over the past FIVE seasons. He’s in a tier of his own as an NFL WR right now, and the most consistent player in fantasy football."
"DeAndre Hopkins HOU (10)","2","246.33","1.30","1.09","","","Many fantasy owners felt burned when DeAndre Hopkins followed up his monster breakout 2015 campaign with a 1st Round price tag and a WR29 finish in 2016. Well those that believed in him, or grabbed him at a huge value in 2017 drafts were handsomely rewarded. Hopkins went from his disappointing 2016 line of 78 catches, 954 receiving yards and 4 TDs up to 96 catches (+18), 1,378 receiving yards (+424), and a league-leading 13 TDs (+11). It’s a huge plus if QB Deshaun Watson is healthy."
"Odell Beckham Jr NYG (9)","3","240.04","2.30","1.12","","","Plain and simple: when he’s on the field, he’s unstoppable. Odell’s 2017 season was cut short during Week 4 from an ankle injury. Prior to that though- 6th in fantasy points during his rookie season with only 13 games played, 5th in 2015, and 4th in his third season. He’s had at least 90 receptions, 1,300 yards and 10 TDs in each of those first three seasons."
"Julio Jones ATL (8)","4","227.72","3.00","2.02","","","Oh ho hum… it was just another 1400+ yard season for Julio Jones in 2017. That’s FOUR straight seasons of 1400+ receiving yards including 1871 in 2015. Julio is a physical freak and will deliver week-winning performances for your fantasy squad. This next part is from last year’s Julio write-up and is even more true now- “leaves fantasy owners wanting more in the TD department.” That was before he dropped down to 3 TDs in 2017. His peak of 10 receiving TDs came back in 2012. Whether it’s Matt Ryan, the new coaching regime, or something else… the Falcons must find a way to utilize Julio near the endzone."
"Michael Thomas NO (6)","5","214.50","2.00","2.04","","","Jarvis Landry held the record for most receptions in his first two NFL seasons with 194. Michael Thomas broke that record in 2016-2017 with 196 catches. It certainly helps having a Hall-of-Fame QB throwing the ball, and while Drew Brees turned 39 earlier this year, he did not show a decline in ability. It was rather a shift in the offense to a wildly successful run game with Ingram & Kamara leading the way, that led to a drop in passing TD numbers. Still, Thomas’ receptions and receiving yards went up. Michael Thomas may not deliver monster weeks, but seems like a lock to finish as a Top 10 WR again."
"Keenan Allen LAC (8)","6","212.38","4.30","2.05","","","Keenan put the “injury prone” tag to rest in 2017, playing all 16 games while finishing as the WR3 in fantasy points. He enters his 6th season at a prime WR age of 26. Double-digit TDs are likely out of reach, but Keenan showed last season that he can top 100 receptions and come close to 1,400 receiving yards if he’s healthy. He’s got a real rapport with Philip Rivers and defenders commonly struggle to cover him as shown by his Reception Perception results."
"Davante Adams GB (7)","7","207.40","3.00","2.06","","","A general rule in the fantasy community is to not bank on touchdowns. They can come and go due to a number of factors each season. However, when Aaron Rodgers is the quarterback, that’s an exception. Davante Adams finished as the WR8 in 2016, and the WR14 in 2017, even with Rodgers missing a majority of the 2017 season. Still, he was under 1000 receiving yards in both, and topped out at 75 receptions. So clearly, he needed the 12 TDs in 2016 and 10 in 2017 to put him among the top fantasy wide receivers. Adams is just 25 years old. There’s reason to believe his receptions and yards can rise this season with the loss of veteran WR Jordy Nelson. The Packers did sign TE Jimmy Graham who had 10 TDs in 2017."
"A.J. Green CIN (9)","8","205.81","2.70","2.09","","","The overall struggle of the Bengals offense really hampered A.J. Green’s production in 2017. With more than one key loss on the offensive line, QB Andy Dalton was constantly under pressure. The Bengals had the 8th lowest number of Pass plays in the league, as well as the 4th lowest number of Run plays. Yikes. However, if the offense can get back on track, Green returns to Top 5 WR potential. His average in seasons with 15 or more games played: 84.2 receptions, 1241.6 yards, 9.4 TDs."
"Adam Thielen MIN (10)","9","199.63","3.00","3.09","","","Holy breakout Batman! Thielen ended 2016 on a high note with 12 catches for 202 yards, and 2 TDs in Week 16. He never let up and became a big time fantasy football weapon in 2017. On 143 targets, he compiled 91 catches for 1,276 yards and 4 TDs. That was good for the WR10 in Half PPR. Now, Kirk Cousins comes to MInnesota and the Vikings offense could be one of the best. The only potential hiccup is a change at offensive coordinator, with Pat Shurmur headed to the Giants. Thielen finds a way to get open and can put up similar numbers with similar targets."
"Doug Baldwin SEA (7)","10","195.74","4.30","3.06","","","Baldwin didn’t quite break 1000 yards (991) in 2017, but still managed 8 TDs on 75 receptions. The Seahawks brought in Brandon Marshall and Jaron Brown but lost redzone beast TE Jimmy Graham. It should be more of the same for Baldwin with one of the best all around QBs in the game, Russell Wilson in his prime. Expect around 115 targets, close to 80 catches, 1000 yards, and 7 TDs. He’s a very solid WR2 for most fantasy squads. | UPDATE: Doug Baldwin is expected to miss most of the preseason with knee soreness. Team is hopeful he will be ready for Week 1 of the regular season."
"Larry Fitzgerald ARI (9)","11","195.03","3.70","3.12","","","Until Larry Legend stops being a reception machine, we have to expect it. He’s topped 100 receptions each of the three seasons. The Cardinals spent a 2nd round pick this season on rookie WR, Christian Kirk. However, we all know even highly drafted WRs can take a long time to adapt in the NFL, if they ever do at all. With competent QB play between either Sam Bradford or rookie, Josh Rosen, Larry Fitzgerald should continue to be a target and reception monster. Boost in PPR leagues."
"Amari Cooper OAK (7)","12","193.03","5.30","3.11","","","Expectations have been high for Amari Cooper since the Raiders picked him 4th overall in the 2015 NFL Draft. Many expected the breakout last year (3rd season), but instead he finished 2nd in votes from the #FootClan for the “Poopiest Pants” of the Year Award. After topping 1000 yards in each of his first two seasons, he was south of 50 catches and 700 yards in 14 games played in 2017. The Raiders offense struggled as a whole, and new head coach, Jon Gruden, apparently wants to run, run, run. Cooper is very talented and just 24 years old. We’re still waiting to see if he can be a true #1 WR in the NFL and improve on contested catches."
"Stefon Diggs MIN (10)","13","187.84","4.70","3.02","","","Reception Perception results show us that when Diggs is at his best, he gets separation from defenders as well as anyone in the league. The problem for Diggs has been injuries, missing 8 games over his first 3 seasons. Playing with those same injuries certainly hurt his fantasy production as well. Still, he’s shown the ability to make big time plays and help win weeks for fantasy owners. IF he can stay healthy for 15 or 16 games, he is in contention for a Top 12 WR finish."
"T.Y. Hilton IND (9)","14","187.48","5.70","3.03","","","We're actually seeing Andrew Luck play this preseason, and that makes all the difference for T.Y. Hilton. Hilton is a talented receiver but last year was a prime example of how many talented receivers aren’t at all immune to a major loss at QB. Backup QB Jacoby Brissett is a decent backup QB in the NFL, but he’s not who you want throwing the ball to your fantasy wideouts. With Andrew Luck in 2016, Hilton led the league in receiving yards (1,448). If you believe Hilton can be great again, you'll have to pay for it in the 3rd Round."
"Mike Evans TB (5)","15","187.34","3.70","3.01","","","After a huge breakout season in 2016 with over 1300 receiving yards and 12 TDs, some fantasy owners put Evans in the Bust category for 2017. He was drafted in the 1st Round of fantasy drafts, and finished as the WR17. Evans never delivered any big week-winning performances, which he did so often in 2016. He’s still a young, supreme talent that should bounce back in 2018. Drafting him mid-late 2nd Round is much more appealing than his 1st Round price tag from last year’s drafts."
"Tyreek Hill KC (12)","16","182.42","4.70","3.03","","","Tyreek the Freak burst onto the scene in the 2nd half of 2016. He followed that up with a big 2017 season, finishing as the WR8 in Half PPR scoring. He’s not much of a weapon in the red zone, but is the most dangerous threat in the game to take any play to the house from any part of the field. His reception totals are most likely capped, especially with the Chiefs paying big for WR Sammy Watkins. Maybe Tyreek can stay just as efficient with his elite skills, but there’s a chance for regression as well."
"Marvin Jones DET (6)","17","178.96","4.00","6.02","","","Marvin Jones had shown big play, and big game ability in year’s past, but never put it together for an entire season. That changed in 2017. He averaged 18 yards a catch, which was the league-high among WRs with at least 50 catches. And while he only had 61 catches, his 9 TDs made up for it, along with 1,101 receiving yards. If he’s healthy, he’s a key downfield weapon for Matthew Stafford and should have no problem finishing as a WR2. Just be warned that a big part of his production was the 9 TDs, and you can’t always bank on those to repeat."
"Jarvis Landry CLE (11)","18","177.81","4.00","4.02","","","Target monster. Reception monster. Landry has had 84 receptions in all four seasons of his NFL career, topping 100 in two of them. However, he now joins the Browns, who are full of change in 2018. They have two new quarterbacks in Tyrod Taylor and Baker Mayfield. New offensive coordinator, Todd Haley, had major success in Pittsburgh. Then there’s fellow WR Josh Gordon, who proved he can put up Elite fantasy numbers with enough targets. While he’s a very talented receiver, it’s hard to see Landry getting the same amount of targets he’s been used to."
"Golden Tate DET (6)","19","176.04","2.30","4.12","","","Tate’s numbers in 2017 were just as expected based on the few years before. He hit 4 years straight of 90+ receptions, and topped 1000 yards in 3 of 4 of them. Even with that yearly consistency, his weekly performances are more boom/bust than most realize. Even with those receptions, his upside is capped from yardage and averaging close to 5 TDs a year. He is certainly most valuable in PPR leagues."
"Demaryius Thomas DEN (10)","20","174.98","3.30","4.10","","","Thomas fits right into the “boring old veteran” category that makes his ADP drop year after year. Combine that with new QB Case Keenum coming to town, Thomas could become a value pick in fantasy drafts. He’s had at least 140 targets over the last SIX seasons. While his days of being a Top 10 wideout are likely over, he can still be a reliable source of receptions for your fantasy squad. Bonus: he hasn’t missed a game over the past six seasons."
"Allen Robinson CHI (5)","21","173.79","4.70","5.05","","","Maybe no longer the “Target Monster” as we once called him, but Allen Robinson is still a young receiver with a ton of talent. The Bears inked Robinson to a 3-year, $42 million deal this offseason. He broke out in 2015 with 80 catches for 1400 yards and 14 TDs, but followed that up in 2016 finishing as the WR25 in Half PPR scoring. Robinson then suffered a torn ACL in the first game of 2017. Now he gets a new chance with his new team, and 2nd year QB, Mitch Trubisky. Former head coach, John Fox, is gone, and we’ve yet to see what the Bears new offense will look like."
"JuJu Smith-Schuster PIT (7)","22","168.75","4.30","4.04","","","It was a big-time rookie season for JuJu finishing as the WR22 with just 14 games played. He easily replaced Martavis Bryant as the number two receiver behind Antonio Brown. He finished with 917 and 7 TDs, and should be able to at least repeat that in 2018."
"Chris Hogan NE (11)","23","166.72","4.30","4.08","","","Without Edelman in the lineup in 2017, Hogan was having a huge first half with Brady. Through the first 8 weeks, he was the WR7 in Half PPR scoring! Then a shoulder injury kept him out for most of the remainder of the regular season. Now at age 32, Edelman returns and Brandin Cooks is gone. If he can stay healthy, we’ve seen the upside for Hogan with Brady as recently as last year. | UPDATE: Julian Edelman is suspended for the first 4 games. Hogan could be a big contributor early on, as we saw last season."
"Brandin Cooks LAR (12)","24","166.48","4.70","5.05","","","Brandin Cooks has has over 1,000 receiving yards in each of the past three seasons. He’s still just 24 years old. The problem among the fantasy community is not knowing when his “boom” games are coming. As soon as you lock him into your lineup, a dud game hits. He now transitions to the Rams, his third NFL team in his first five seasons. While QB Jared Goff is an ascending talent, Cooks spent his first four seasons playing with either Drew Brees or Tom Brady. Not bad! Cooks is an elite speedster, but we’ve yet to see how he’ll fit into this offense. He’s a true “Fantasy Wildcard” for 2018."
"Alshon Jeffery PHI (9)","25","164.92","5.70","7.02","","","On a one-year “prove-it” deal, Alshon did just that in 2017 with the Eagles. He came up big in Super Bowl 52 with 73 yards and a TD. His season was highlighted by 9 TDs but other stats were underwhelming. The good thing is that he had 120 targets, tied for 13th among wideouts. The bad is that he was well south of 1000 yards and had just 57 receptions, tied for 35th. With another 120 targets, he could certain see increased reception and yardage totals. He had surgery this offseason for a torn rotator cuff and has the chance to start the season on the PUP. This would be six games missed. Monitor the situation and draft with caution."
